lat,long
59.35089221144458,18.06801781928926
59.350891870818316,18.068018124968013
59.35089156748694,18.06801840294542
59.350891280752876,18.06801867068794
59.35089045624267,18.068017978373387
59.35089002047513,18.068018321102116
59.35088967972602,18.068018587298493
59.350889251908235,18.06801893808157
59.35088889503901,18.068019247692508
59.350888562106114,18.068019563485084
59.35088806899624,18.068020038520743
59.35088772905915,18.06802037144933
59.35088739081483,18.068020717388638
59.35088699245528,18.0680211402382
59.350887098399966,18.068022921721646
59.3508867398732,18.068023418329098
59.35088631215493,18.06802403301854
59.35088607790942,18.068024388969256
59.35088577547372,18.068024861230338
59.35088543811396,18.06802538759317
59.350885220296675,18.068025718766854
59.35088487959332,18.068026231167067
59.3508844884347,18.0680268194528
59.35088423801627,18.06802718860479
59.350883802036826,18.068027362043864
59.350883393324395,18.068027936673428
59.35088315587734,18.06802825741217
59.35088275750727,18.06802879031216
59.35088238040759,18.068029300501255
59.350882088039604,18.06802969449003
59.350881685243436,18.06803024769928
59.350881359155835,18.06803069824629
59.350881062284756,18.068031114700034
59.350880650855565,18.068031700494007
59.350880329372885,18.068032106259608
59.35088000659731,18.068032570503085
59.35087964073993,18.068033108393962
59.35087939164626,18.068033476967518
59.350879048160124,18.068033992171085
59.35087862847907,18.06803462223894
59.350878372668944,18.068035006614036
59.35087805088452,18.068035499548454
59.35087772949821,18.068035993416846
59.350877486860995,18.06803636778241
59.35087675098711,18.068036017983673
59.35087635475176,18.068036538244034
59.350876115804915,18.068036853896835
59.3508757175326,18.06803738302921
59.350875296951514,18.06803795870634
59.35087502186779,18.068038356985348
59.350874649006116,18.068038907362066
59.35087434126139,18.068039372079177
59.350874019612746,18.068039880968364
59.35087356094773,18.06804061794797
59.35087364766716,18.068041977275833
59.35087338106845,18.068042507154267
59.3508730141527,18.068043247775094
59.35087277840245,18.068043732749025
59.35087246155358,18.068044404663983
59.35087212990115,18.06804510732178
59.35087192194686,18.068045532219198
59.35087161393104,18.0680461502517
59.3508712647554,18.06804684858048
59.35087103305253,18.068047298457394
59.35087079298347,18.068048212575196
59.35087048483689,18.068048839379628
59.3508702889128,18.068049228124096
59.35086992763523,18.068049950094142
59.35086960249066,18.06805059142252
59.35086936028137,18.068051054823854
59.35086898549335,18.06805177958225
59.35086870008695,18.068052320771887
59.35086859298994,18.06805251665603
59.35086855926446,18.068052578471914
59.35086859937199,18.0680527337134
59.35086828711397,18.06805330647005
59.35086776454857,18.068054261148713
59.35086738850656,18.06805488024041
59.350867058381766,18.068055319465483
59.35086672365712,18.06805573376824
59.3508665006933,18.068055975242043
59.35086608628117,18.068056393294928
59.35086563305206,18.068056819266538
59.35086531277246,18.068057081304676
59.35086451147778,18.068056505152306
59.350864121934606,18.06805668431138
59.350863786871614,18.068056803883138
59.35086329209585,18.068056952561133
59.350862881518395,18.068057039091453
59.350862499595834,18.068057076290774
59.3508619699422,18.068057099967127
59.35086153662089,18.068057076480454
59.35086115960138,18.068057014729586
59.350860689977196,18.068056904934288
59.3508604832128,18.068057005722995
59.350860103705905,18.068056850122016
59.350859548513824,18.068056609732803
59.35085922503208,18.068056435346936
59.350858848133676,18.068056194203514
59.35085848356059,18.06805593674216
59.35085826249079,18.068055758882295
59.350857824427024,18.068055383599066
59.35085736353551,18.068054951493494
59.35085708592092,18.068054647538695
59.3508566776126,18.06805610260298
59.350856296333035,18.068055716637215
59.350855974026274,18.068055334182283
59.35085555719348,18.06805479600951
59.350855228635965,18.068054329339823
59.350854932288414,18.068053851854195
59.350854561220274,18.068053220426766
